order_date,region,category,product,customer_type,quantity,unit_price,discount,revenue,salesperson
2025-10-06,North,Office,Stapler,Returning,1,14.93,0.05,14.18,Alex
2025-07-18,West,Accessories,Phone Stand,New,2,29.97,0.0,59.94,Jamie
2025-09-27,South,Accessories,USB Cable,New,2,12.82,0.0,25.64,Sam
2025-02-06,South,Home,Air Purifier,Returning,2,152.9,0.0,305.8,Morgan
2025-11-26,East,Accessories,Phone Stand,Returning,1,31.14,0.0,31.14,Jamie
2025-07-26,North,Home,Coffee Maker,New,1,127.17,0.1,114.45,Alex
2025-01-02,South,Accessories,Laptop Sleeve,Returning,1,35.06,0.0,35.06,Alex
2025-09-04,East,Accessories,Laptop Sleeve,New,1,35.29,0.2,28.23,Jamie
2025-03-30,West,Accessories,USB Cable,New,1,13.16,0.1,11.84,Sam
2025-01-18,West,Electronics,Keyboard,Returning,1,60.37,0.0,60.37,Jamie
2025-02-03,South,Office,Whiteboard,Returning,3,70.61,0.05,201.24,Morgan
2025-02-22,North,Accessories,Laptop Sleeve,Returning,2,35.1,0.05,66.69,Jamie
2025-12-20,South,Home,Storage Box,Returning,4,24.52,0.15,83.37,Morgan
2025-01-21,West,Accessories,Mouse Pad,Returning,2,20.17,0.0,40.34,Alex
2025-11-01,East,Office,Whiteboard,New,1,68.38,0.0,68.38,Morgan
2025-08-18,East,Accessories,Mouse Pad,Returning,4,20.07,0.05,76.27,Taylor
2025-03-11,North,Accessories,USB Cable,New,5,12.84,0.05,60.99,Morgan
2025-04-07,West,Office,Stapler,New,2,15.09,0.1,27.16,Jamie
2025-05-04,South,Accessories,Laptop Sleeve,Returning,1,34.93,0.0,34.93,Taylor
2025-04-24,North,Office,Notebook,New,2,8.97,0.2,14.35,Jamie
2025-07-03,South,Accessories,Laptop Sleeve,Returning,5,34.89,0.1,157.0,Morgan
2025-01-29,West,Office,Stapler,Returning,2,14.94,0.0,29.88,Alex
2025-12-28,North,Electronics,Webcam,New,1,87.62,0.1,78.86,Alex
2025-05-20,West,Office,Notebook,New,2,8.84,0.0,17.68,Alex
2025-02-01,North,Office,Whiteboard,New,2,70.78,0.1,127.4,Taylor
2025-04-25,East,Electronics,Headphones,New,3,81.54,0.05,232.39,Jamie
2025-09-02,North,Office,Notebook,Returning,1,9.02,0.2,7.22,Taylor
2025-10-01,East,Accessories,USB Cable,New,1,13.04,0.0,13.04,Jamie
2025-12-19,East,Office,Stapler,Returning,1,14.86,0.1,13.37,Alex
2025-06-13,South,Home,Air Purifier,Returning,1,157.65,0.05,149.77,Jamie
2025-07-22,North,Office,Whiteboard,Returning,1,69.84,0.0,69.84,Morgan
2025-07-31,East,Home,Storage Box,Returning,2,25.44,0.05,48.34,Alex
2025-08-24,East,Electronics,Headphones,New,1,79.98,0.0,79.98,Morgan
2025-01-17,South,Accessories,Phone Stand,New,1,28.95,0.0,28.95,Sam
2025-07-12,East,Home,Coffee Maker,New,2,127.24,0.05,241.76,Taylor
2025-09-21,East,Home,Desk Lamp,Returning,2,39.9,0.1,71.82,Alex
2025-11-05,East,Electronics,Monitor,Returning,1,215.77,,183.4,Taylor
2025-05-23,North,Accessories,Phone Stand,New,4,30.08,0.0,120.32,Sam
2025-04-16,North,Home,Coffee Maker,Returning,2,128.85,0.1,231.93,Sam
2025-07-13,East,Accessories,Laptop Sleeve,Returning,1,35.06,0.2,28.05,Morgan
2025-01-25,West,Home,Air Purifier,New,4,163.97,0.0,655.88,Jamie
2025-02-14,East,Electronics,Keyboard,New,4,59.81,0.0,239.24,Alex
2025-09-17,West,Electronics,Webcam,New,2,90.89,0.05,172.69,Alex
2025-02-03,West,Home,Air Purifier,New,5,160.4,0.05,761.9,Taylor
2025-08-01,East,Office,Notebook,Returning,4,8.82,0.05,33.52,Morgan
2025-05-12,East,Office,Whiteboard,Returning,1,71.41,0.05,67.84,Jamie
2025-04-22,South,Office,Notebook,Returning,3,9.09,0.1,24.54,Alex
2025-08-27,North,Home,Air Purifier,Returning,2,160.05,0.15,272.09,Jamie
2025-09-24,East,Electronics,Monitor,Returning,3,219.81,0.15,560.52,Taylor
2025-11-05,North,Electronics,Keyboard,Returning,2,59.27,0.15,100.76,Alex
2025-07-21,East,Accessories,Mouse Pad,Returning,3,20.24,0.1,54.65,Morgan
2025-11-29,North,Accessories,Mouse Pad,Returning,2,19.85,0.1,35.73,Taylor
2025-10-22,East,Electronics,Webcam,Returning,1,90.69,0.1,81.62,Sam
2025-03-13,East,Electronics,Headphones,Returning,4,81.27,0.05,308.83,Morgan
2025-12-29,East,Home,Desk Lamp,New,1,41.35,0.1,37.22,Alex
2025-09-26,West,Home,Air Purifier,Returning,1,160.12,0.0,160.12,Sam
2025-06-21,South,Electronics,Monitor,Returning,1,212.95,0.05,202.3,Morgan
2025-05-08,South,Home,Coffee Maker,Returning,4,126.87,0.05,482.11,Morgan
